rank,name,V,Teff,logg,Del,texp,rms,Nobs,FOM
1,HD172051,5.85,5636,4.58,1.41,448,1.11,21,4.732
2,HD4614,3.46,5919,4.37,5.35,383,2.8,45,4.666
3,HD219834B,5.2,5135,4.48,3.69,277,3.4,63,4.592
4,HD143761,5.4,5833,4.29,5.35,457,3,186,4.582
5,HD86728,5.4,5742,4.31,4.02,433,3.2,48,4.509
6,HD10700,3.49,5333,4.6,1,214,2.5,272,4.506
7,HD201091,5.21,4361,4.63,0.76,180,2.4,84,4.504
8,HD190360,5.7,5549,4.29,3.66,446,3.2,143,4.48
9,HD10780,5.63,5344,4.54,3.34,380,3.43,15,4.479
10,HD157214,5.38,5817,4.61,2.7,378,3.1,44,4.478
11,HD186427,6.2,5747,4.37,4.81,710,2.7,118,4.46
12,HD4628,5.74,4937,4.54,0.64,352,1.72,37,4.44
13,HD185144,4.67,5242,4.56,0.55,233,2.2,227,4.412
14,HD34411,4.7,5873,4.26,1.88,492,2.7,83,4.378
15,HD179957,6.75,5741,4.42,3.1,1016,2,97,4.367
16,HD10476,5.24,5190,4.51,0.72,260,2.8,133,4.336
17,HD186408,5.96,5778,4.28,3.53,806,2.9,86,4.317
18,HD38858,5.97,5735,4.46,1.32,546,2.41,117,4.317
19,HD50692,5.76,5913,4.39,2.6,642,3.2,81,4.287
20,HD68017,6.78,5626,4.6,4.53,942,3.1,105,4.286
21,HD115617,4.74,5562,4.44,1.41,316,3.96,228,4.281
22,HD154345,6.76,5455,4.52,3.52,864,3,141,4.278
23,HD55575,5.55,5888,4.32,2.24,722,2.8,55,4.273
24,HD52711,5.93,5886,4.39,2.62,660,3.3,78,4.266
25,HD19373,4.05,5938,4.18,2.14,595,3.3,85,4.258
26,HD95735,7.49,3464,4.86,1.72,640,2.8,165,4.256
27,HD217107,6.18,5575,4.25,6.21,844,4.35,123,4.248
28,HD221354,6.76,5221,4.47,0.96,796,1.8,171,4.247
29,HD51419,6.94,5732,4.51,2.59,1130,2.2,92,4.247
30,HD196761,6.36,5473,4.55,2.17,644,3.52,36,4.206
31,HD26965,4.43,5092,4.51,2.93,257,7.87,99,4.196
32,HD146233,5.5,5785,4.41,1.53,538,3.47,161,4.196
33,HD182572,5.17,5587,4.15,2.31,618,3.91,83,4.187
34,HD24496,6.81,5531,4.5,4.89,936,4.2,96,4.174
35,HD110897,5.95,5911,4.49,2.72,566,4.7,44,4.173
36,HD126053,6.25,5714,4.54,2.13,660,3.8,80,4.16
37,HD116442,7.06,5155,4.54,2.13,982,2.8,56,4.152
38,HD9407,6.52,5672,4.45,0.72,826,1.9,206,4.146
39,HD187923,6.16,5774,4.23,1.78,944,2.79,77,4.128
40,HD168009,6.3,5808,4.33,3.54,808,4.5,34,4.126
41,HD48682,5.25,6039,4.27,2.63,862,3.7,43,4.124
42,HD124292,7.05,5458,4.48,2.55,1094,3,35,4.121
43,HD185414,6.73,5848,4.49,6.54,1046,5,60,4.12
44,HD145958B,7.5,5343,4.46,5.34,1634,3.1,77,4.114
45,HD99491,6.49,5438,4.4,2.68,724,4.5,125,4.105
46,HD12846,6.89,5700,4.48,2.08,1078,2.9,69,4.097
47,HD164922,6.99,5341,4.39,2.38,1000,3.4,158,4.085
48,HD157347,6.3,5712,4.42,1.47,708,3.56,87,4.084
49,HD149806,7.1,5275,4.42,3.58,1086,4,34,4.072
50,HD170657,6.81,5040,4.54,3.19,778,5.15,43,4.058
51,HD199960,6.21,5885,4.22,3.27,1032,4.16,25,4.055
52,HD158633,6.44,5256,4.58,0.71,626,3,40,4.042
53,HD166620,6.38,4970,4.51,0.71,536,3.4,67,4.04
54,HD39881,6.6,5770,4.39,2.92,966,4.39,45,4.031
55,HD176377,6.8,5877,4.52,2.4,1110,3.6,87,4.023
56,HD33021,6.15,5786,4.21,2.78,994,4.26,23,4.023
57,HD30708,6.78,5707,4.26,3.37,1212,3.98,16,4.021
58,HD43947,6.61,5963,4.33,2.81,1164,3.8,39,4.016
59,HD3651,5.88,5221,4.45,0.77,442,4.3,92,4.016
60,HD1461,6.46,5739,4.34,0.87,854,2.77,251,4.012
61,HD69830,5.95,5387,4.48,1.42,466,5.7,268,4.009
62,HD221356,6.5,5987,4.31,3.12,1154,4.11,30,4.008
63,HD56303,7.34,5917,4.3,2.77,2032,2.37,16,4.002
64,HD1326,8.07,3567,4.89,1.52,1220,2.8,170,3.998
65,HD12051,7.14,5412,4.38,0.97,1206,2.32,232,3.986
66,HD58781,7.24,5582,4.37,2.77,1440,3.39,23,3.981
67,HD44985,7.01,5983,4.36,3.38,1462,3.71,17,3.98
68,HD18803,6.62,5648,4.45,2.47,874,5,113,3.975
69,HD191785,7.34,5132,4.48,2.48,1296,3.61,56,3.97
70,HD92719,6.79,5796,4.47,2.46,1066,4.27,66,3.97
71,HD84737,5.1,5872,4.1,2.56,1300,3.7,46,3.965
72,HD218868,7,5505,4.42,2.98,1074,4.8,78,3.958
73,HD135101A,6.69,5677,4.2,2.93,1122,4.65,42,3.952
74,HD37008,7.74,4979,4.53,2.11,1820,2.58,45,3.949
